date,action,symbol,price,reason,pnl
2023-05-02,SELL,ANET,33.74,trailing_stop,-1222.09
2023-05-02,BUY,FIX,148.61,momentum=75.5%,0.0
2023-05-16,SELL,LVS,55.48,below_50ma,-173.26
2023-05-16,BUY,FSLR,212.8,momentum=249.7%,0.0
2023-05-19,SELL,DECK,75.8,below_50ma,579.93
2023-05-19,SELL,FSLR,203.53,below_50ma,-472.77
2023-05-19,BUY,LVS,57.46,momentum=89.6%,0.0
2023-05-19,BUY,NFLX,36.54,momentum=78.8%,0.0
2023-05-23,SELL,LVS,52.92,below_50ma,-1239.52
2023-05-23,BUY,EME,161.94,momentum=56.9%,0.0
2023-05-26,SELL,ACGL,67.51,below_50ma,301.64
2023-05-26,BUY,DECK,77.53,momentum=82.8%,0.0
2023-06-01,SELL,DECK,77.5,below_50ma,-2.81
2023-06-01,BUY,FSLR,208.74,momentum=146.0%,0.0
2023-06-06,SELL,FSLR,196.82,below_50ma,-429.12
2023-06-06,BUY,DECK,81.92,momentum=79.9%,0.0
2023-07-21,SELL,NFLX,42.75,trailing_stop,1404.36
2023-07-21,BUY,RCL,100.08,momentum=172.5%,0.0
2023-08-17,SELL,RCL,97.29,below_50ma,-264.66
2023-08-17,BUY,VRT,32.88,momentum=99.8%,0.0
2023-08-24,SELL,DECK,86.96,below_50ma,448.56
2023-08-24,BUY,CRH,54.18,momentum=63.3%,0.0
2023-09-01,SELL,CRH,54.49,below_50ma,43.92
2023-09-01,BUY,PHM,80.92,momentum=110.6%,0.0
2023-09-05,SELL,PHM,76.28,below_50ma,-450.27
2023-09-05,BUY,META,297.81,momentum=97.5%,0.0
2023-09-06,SELL,META,296.84,below_50ma,-24.31
2023-09-06,BUY,NFLX,44.58,momentum=100.7%,0.0
2023-09-07,SELL,GE,87.88,below_50ma,2817.65
2023-09-07,BUY,PHM,79.31,momentum=112.0%,0.0
2023-09-08,SELL,PHM,79.05,below_50ma,-62.64
2023-09-08,BUY,ACGL,73.47,momentum=64.8%,0.0
2023-09-13,SELL,NFLX,41.22,below_50ma,-556.43
2023-09-13,BUY,GE,89.31,momentum=106.7%,0.0
2023-09-21,SELL,FIX,169.03,below_50ma,2327.86
2023-09-21,SELL,EME,207.62,below_50ma,6303.91
2023-09-21,SELL,GE,88.83,below_50ma,-40.28
2023-09-21,BUY,FDX,248.46,momentum=73.0%,0.0
2023-09-21,BUY,LII,360.82,momentum=58.9%,0.0
2023-09-21,BUY,MPC,146.84,momentum=55.0%,0.0
2023-09-26,SELL,VRT,35.4,trailing_stop,711.03
2023-09-26,BUY,PSX,109.54,momentum=58.6%,0.0
2023-10-03,SELL,FDX,246.89,below_50ma,-111.83
2023-10-03,SELL,LII,356.11,below_50ma,-155.55
2023-10-03,BUY,VRT,36.71,momentum=248.1%,0.0
2023-10-03,BUY,JBL,126.91,momentum=92.6%,0.0
2023-10-04,SELL,MPC,134.62,below_50ma,-684.31
2023-10-04,SELL,PSX,101.35,trailing_stop,-1990.39
2023-10-04,BUY,META,303.2,momentum=113.3%,0.0
2023-10-04,BUY,PLTR,15.73,momentum=80.9%,0.0
2023-10-19,SELL,VRT,37.29,trailing_stop,229.47
2023-10-19,BUY,AVGO,84.47,momentum=90.6%,0.0
2023-10-20,SELL,JBL,124.36,trailing_stop,-152.79
2023-10-20,SELL,PLTR,16.11,trailing_stop,247.38
2023-10-20,BUY,ADBE,540.96,momentum=69.6%,0.0
2023-10-20,BUY,VST,31.22,momentum=59.1%,0.0
2023-10-23,SELL,VST,31.18,below_50ma,-6.34
2023-10-23,BUY,JBL,123.57,momentum=72.9%,0.0
2023-10-25,SELL,META,297.2,below_50ma,-378.18
2023-10-25,SELL,AVGO,82.7,below_50ma,-519.07
2023-10-25,SELL,ADBE,521.14,below_50ma,-317.12
2023-10-25,BUY,VST,32.05,momentum=56.2%,0.0
2023-10-25,BUY,PANW,122.39,momentum=39.5%,0.0
2023-10-25,BUY,PKG,139.74,momentum=36.0%,0.0
2023-10-26,SELL,PANW,118.6,below_50ma,-345.8
2023-10-26,BUY,MSFT,321.68,momentum=36.9%,0.0
2023-10-27,SELL,VST,31.31,below_50ma,-380.45
2023-10-27,BUY,FIX,174.4,momentum=44.6%,0.0
2023-11-29,SELL,ACGL,78.34,below_50ma,1285.31
2023-11-29,SELL,JBL,114.7,trailing_stop,-727.48
2023-11-29,BUY,VRT,42.15,momentum=197.5%,0.0
2023-11-29,BUY,META,329.61,momentum=175.2%,0.0
2023-12-06,SELL,META,314.98,below_50ma,-336.61
2023-12-06,BUY,CVNA,37.38,momentum=409.2%,0.0
2023-12-26,SELL,CVNA,53.56,trailing_stop,6569.08
2023-12-26,BUY,META,352.07,momentum=183.5%,0.0
2024-02-01,SELL,PKG,154.28,below_50ma,799.52
2024-02-01,BUY,UBER,66.73,momentum=85.0%,0.0
2024-04-04,SELL,UBER,74.92,below_50ma,1154.79
2024-04-04,BUY,CVNA,82.44,momentum=719.1%,0.0
